name,organ_system,key_gene_or_marker,aliases,potential_causes,cause_established,source
Acinic cell carcinoma,"Head, neck and thorax",NR4A3,AciCC,Largely sporadic with no consistently established cause; prior ionizing radiation to the head and neck is a recognized minor risk factor for salivary gland carcinomas.,no,
Adenoid cystic carcinoma,"Head, neck and thorax",MYB,ACC; AdCC; cylindroma (obsolete),"Cause not established; salivary and other adenoid cystic carcinomas are largely sporadic, with prior ionizing radiation to the head and neck the only recognized minor risk factor.",no,
Basal cell adenocarcinoma,"Head, neck and thorax",CTNNB1,BCAC,"Cause not established; usually sporadic, though rare cases arise in patients with membranous basal cell adenoma and hereditary cylindromatosis (CYLD-related), otherwise no known cause.",no,"WHO Classification of Head and Neck Tumours, 5th ed. (2022)"
Carcinoma ex pleomorphic adenoma,"Head, neck and thorax",PLAG1,CXPA; malignant mixed tumor,"Arises from malignant transformation of a preexisting benign pleomorphic adenoma, so a long-standing or recurrent pleomorphic adenoma is the established precursor lesion; prior radiation is a minor risk factor.",yes,"WHO Classification of Head and Neck Tumours, 5th ed. (2022)"
Ceruminous adenocarcinoma,"Head, neck and thorax",,ceruminous gland carcinoma of external auditory canal,Cause not established; a rare sporadic adenocarcinoma of the ceruminous glands of the external auditory canal with no known environmental or inherited cause.,no,"WHO Classification of Head and Neck Tumours, 5th ed. (2022)"
Clear cell carcinoma,"Head, neck and thorax",EWSR1-ATF1,hyalinizing clear cell carcinoma; CCC,Cause not established; this salivary gland carcinoma (EWSR1::ATF1 fusion) is sporadic with no known environmental or inherited etiologic factor.,no,"WHO Classification of Head and Neck Tumours, 5th ed. (2022)"
Endolymphatic sac tumor,"Head, neck and thorax",VHL,Heffner tumor; low-grade adenocarcinoma of endolymphatic sac,"Frequently caused by von Hippel-Lindau disease, an inherited VHL tumor suppressor syndrome; up to about 16 percent of VHL patients develop these tumors through biallelic VHL inactivation, while other cases are sporadic.",yes,"WHO Classification of Head and Neck Tumours, 5th ed. (2022)"
Epithelial-myoepithelial carcinoma,"Head, neck and thorax",HRAS,EMC,"Cause not established; a rare sporadic salivary gland carcinoma with no proven environmental or inherited cause, though prior head and neck radiation may be a minor risk factor.",no,"WHO Classification of Head and Neck Tumours, 5th ed. (2022)"
Fetal adenocarcinoma of the lung,"Head, neck and thorax",CTNNB1,well-differentiated fetal adenocarcinoma; pulmonary endodermal tumor resembling fetal lung,"Cause not established; a rare lung adenocarcinoma variant that is largely sporadic (well-differentiated form has recurrent CTNNB1 mutations), though smoking has been reported in the high-grade form.",no,"WHO Classification of Thoracic Tumours, 5th ed. (2021)"
HPV-related multiphenotypic sinonasal carcinoma,"Head, neck and thorax",HPV,HMSC; HPV-related carcinoma with adenoid cystic-like features,"Caused by high-risk human papillomavirus infection (most often HPV type 33, also 16, 31, 35, 52, 56), which is consistently present and drives this sinonasal carcinoma.",yes,"WHO Classification of Head and Neck Tumours, 5th ed. (2022)"
