msk_cancer_type,n_samples,matched_rare_cancer
Lung Adenocarcinoma,1357,
Breast Invasive Ductal Carcinoma,927,
Colon Adenocarcinoma,724,
Prostate Adenocarcinoma,698,
Pancreatic Adenocarcinoma,384,
Bladder Urothelial Carcinoma,312,
Glioblastoma Multiforme,286,
Renal Clear Cell Carcinoma,202,
Cutaneous Melanoma,195,
Breast Invasive Lobular Carcinoma,190,
Lung Squamous Cell Carcinoma,170,
Stomach Adenocarcinoma,151,
Rectal Adenocarcinoma,151,
Cancer of Unknown Primary,146,Carcinoma of unknown primary
Mixed Germ Cell Tumor,141,
Gastrointestinal Stromal Tumor,137,Gastrointestinal stromal tumor
High-Grade Serous Ovarian Cancer,133,
Intrahepatic Cholangiocarcinoma,115,Cholangiocarcinoma
Esophageal Adenocarcinoma,112,
Uterine Endometrioid Carcinoma,95,
Papillary Thyroid Cancer,93,
Colorectal Adenocarcinoma,90,
Anaplastic Astrocytoma,86,
Hepatocellular Carcinoma,85,
Upper Tract Urothelial Carcinoma,82,
Small Cell Lung Cancer,82,Small cell lung cancer
Neuroblastoma,80,Neuroblastoma
Seminoma,76,Seminoma
Pancreatic Neuroendocrine Tumor,75,Pancreatic neuroendocrine tumor
"Diffuse Large B-Cell Lymphoma, NOS",74,
Adenoid Cystic Carcinoma,73,Adenoid cystic carcinoma
Merkel Cell Carcinoma,63,Merkel cell carcinoma
Poorly Differentiated Thyroid Cancer,60,Poorly differentiated thyroid carcinoma
Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,59,
Uterine Leiomyosarcoma,57,Uterine leiomyosarcoma
Cholangiocarcinoma,57,Cholangiocarcinoma
Breast Mixed Ductal and Lobular Carcinoma,56,
Cutaneous Squamous Cell Carcinoma,55,Cutaneous squamous cell carcinoma
Unclassified Renal Cell Carcinoma,54,
Invasive Breast Carcinoma,50,
"Breast Invasive Cancer, NOS",49,
Mucinous Adenocarcinoma of the Appendix,48,Appendiceal mucinous adenocarcinoma
Uterine Serous Carcinoma/Uterine Papillary Serous Carcinoma,47,
Gallbladder Cancer,46,Gallbladder carcinoma
Dedifferentiated Liposarcoma,45,Dedifferentiated liposarcoma
Uveal Melanoma,44,Uveal melanoma
Anaplastic Oligodendroglioma,43,"Oligodendroglioma, isocitrate dehydrogenase-mutant and 1p/19q-codeleted"
Melanoma of Unknown Primary,43,
Head and Neck Squamous Cell Carcinoma,43,
Oral Cavity Squamous Cell Carcinoma,42,
Oropharynx Squamous Cell Carcinoma,42,
"Pleural Mesothelioma, Epithelioid Type",41,
Leiomyosarcoma,41,Leiomyosarcoma
"Breast Invasive Carcinoma, NOS",40,
Mucinous Adenocarcinoma of the Colon and Rectum,39,Colorectal mucinous adenocarcinoma
Pleural Mesothelioma,39,Malignant mesothelioma
Uterine Carcinosarcoma/Uterine Malignant Mixed Mullerian Tumor,38,
Ewing Sarcoma,38,Ewing sarcoma
Large Cell Neuroendocrine Carcinoma,37,Large cell neuroendocrine carcinoma
Osteosarcoma,37,Osteosarcoma
Angiosarcoma,36,Angiosarcoma
Oligodendroglioma,36,Oligodendroglioma
Astrocytoma,35,
Synovial Sarcoma,34,Synovial sarcoma
Anaplastic Thyroid Cancer,33,Anaplastic thyroid carcinoma
Chromophobe Renal Cell Carcinoma,33,Chromophobe renal cell carcinoma
Small Bowel Cancer,33,
Papillary Renal Cell Carcinoma,33,Papillary renal cell carcinoma
Anal Squamous Cell Carcinoma,32,Anal cancer
"Sarcoma, NOS",32,
Adenocarcinoma of the Gastroesophageal Junction,28,
Extrahepatic Cholangiocarcinoma,27,Distal cholangiocarcinoma
Follicular Lymphoma,27,
Adrenocortical Carcinoma,25,Adrenocortical carcinoma
Clear Cell Ovarian Cancer,24,Ovarian clear cell carcinoma
Solitary Fibrous Tumor/Hemangiopericytoma,24,
Poorly Differentiated Non-Small Cell Lung Cancer,24,
Yolk Sac Tumor,23,Yolk sac tumor
Low-Grade Serous Ovarian Cancer,23,Low grade serous ovarian carcinoma
Hurthle Cell Thyroid Cancer,23,Hurthle cell thyroid carcinoma
Anorectal Mucosal Melanoma,23,
Acral Melanoma,23,Acral lentiginous melanoma
Desmoplastic Small-Round-Cell Tumor,22,Desmoplastic small round cell tumor
Meningioma,21,Meningioma
"High-Grade Glioma, NOS",20,
Uterine Mixed Endometrial Carcinoma,19,
Chondrosarcoma,19,Chondrosarcoma
Embryonal Carcinoma,19,
Peritoneal Mesothelioma,18,Peritoneal mesothelioma
